,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,,2005,,2004,,2003,,2002,,2001
COUNTY, % ,, %,, %,,%,, % ,, % ,, %,, %,, % ,, %,, % ,, %,, % ,, % ,, % ,, % ,, % ,, % 
Morgan,35.9,-6.0,41.9,-11.5,53.4,-2.9,56.3,-9.0,65.3,20.8,44.5,-8.9,53.4,4.0,49.4,1.1,48.3,-0.3,48.6,-5.7,54.3,2.5,51.8,-1.6,53.4,4.9,48.5,2.5,46.0,12.2,33.79,-2.18,35.97,-15.12,51.09
Nicholas,47.3,0.4,46.9,-5.4,52.3,3.7,48.6,4.6,44.0,0.8,43.2,0.6,42.6,-9.9,52.5,1.4,51.1,-0.4,51.5,3.5,48.0,-1.6,49.6,0.4,49.2,-3.7,52.9,3.9,49.0,-2.5,51.51,2.95,48.56,-3.67,52.23
Ohio,72.7,2.3,70.4,-1.1,71.5,0.9,70.6,-3.0,73.6,9.9,63.7,-7.2,70.9,-3.4,74.3,2.5,71.8,-11.3,83.1,6.7,76.4,6.4,70.0,-13.6,83.6,2.8,80.8,1.0,79.8,3.4,76.38,-5.18,81.56,-0.35,81.91
Pendleton,58.9,10.1,48.8,-2.6,51.4,-0.1,51.5,-7.0,58.5,12.0,46.5,-8.3,54.8,-22.5,77.3,14.9,62.4,13.2,49.2,-15.5,64.7,6.6,58.1,-3.4,61.5,7.5,54.0,10.1,43.9,-13.8,57.65,1.33,56.32,-6.18,62.50
Pleasants,48.0,-7.1,55.1,20.6,34.5,-9.7,44.2,8.2,36.0,-19.6,55.6,-10.1,65.7,10.5,55.2,-3.0,58.2,-4.5,62.7,14.3,48.4,-7.9,56.3,0.3,56.0,-5.6,61.6,-0.1,61.7,-0.4,62.07,8.81,53.26,1.74,51.52
Pocahontas,35.4,-12.0,47.4,-14.9,62.3,10.9,51.4,-5.0,56.4,-7.5,63.9,8.1,55.8,0.9,54.9,-20.4,75.3,7.8,67.5,11.3,56.2,10.4,45.8,-14.0,59.8,5.4,54.4,-0.7,55.1,-4.7,59.77,14.03,45.74,-5.37,51.11
Preston,47.3,5.5,41.8,-2.8,44.6,5.0,39.6,2.4,37.2,-10.3,47.5,1.2,46.3,-5.1,51.4,-2.0,53.4,8.9,44.5,-5.3,49.8,-4.5,54.3,5.3,49.0,-3.7,52.7,2.4,50.3,-1.0,51.27,7.68,43.59,-4.79,48.38
Putnam,59.0,-4.1,63.1,-1.2,64.3,-2.5,66.8,0.9,65.9,-1.2,67.1,2.8,64.3,-3.1,67.4,-0.3,67.7,-3.1,70.8,-4.2,75.0,10.1,64.9,-1.5,66.4,2.3,64.1,-7.9,72.0,8.1,63.90,1.57,62.33,1.34,60.99
Raleigh*,50.7,0.3,50.4,-1.7,52.1,0.3,51.8,4.1,47.7,2.9,44.8,-1.8,46.6,-0.4,47.0,5.2,41.8,-10.0,51.8,0.3,51.5,5.7,45.8,3.7,42.1,-6.7,48.8,-1.1,49.9,-5.1,54.97,5.17,49.80,3.35,46.45
Randolph,43.9,-9.0,52.9,4.6,48.3,-1.2,49.5,1.6,47.9,-6.4,54.3,1.6,52.7,-4.9,57.6,-2.7,60.3,-2.6,62.9,13.6,49.3,-9.4,58.7,-1.5,60.2,5.4,54.8,-10.3,65.1,12.5,52.56,-7.03,59.59,2.97,56.62
